text,label,note
"上周语文课后，我把读书笔记拿回家又改了一遍。第一次写的时候，我只写了人物关系，后来发现没有写出自己最有感触的地方。于是我补充了主人公面对困难时的选择，也写了我在班级活动中犹豫又坚持的经历。修改以后，文章不像一开始那样空，只是有些句子还不够顺。",human,"偏自然写作，含修改过程"
"这次研究性学习我们小组观察了校园里的节水提示牌。我负责记录每天中午洗手池附近的用水情况，还采访了两位同学。原来很多人不是故意浪费，而是没有注意水龙头是否关紧。写报告时我把记录表放在最后，结论也改成了比较具体的建议。",human,"偏自然写作，含观察细节"
"读完这本书后，我印象最深的是主人公没有马上成功。以前我写读后感总喜欢写他很勇敢、值得学习，这次老师提醒我要说清楚为什么。我想到了自己练长跑时想放弃的那段时间，所以在文章里写了那次训练的过程。",human,"偏自然写作，含个人经历"
"我写这篇作文时先列了三个小标题，但写到第二段就觉得不对，因为内容像在喊口号。后来我删掉了两句空话，改写成我和同桌一起准备展示的事情。虽然语言不算华丽，但我觉得它更像我自己的经历。",human,"偏自然写作，含自我修订"
"我们小组做学习总结时分工不太顺利。学生A负责查资料，我负责整理课堂笔记，还有一位同学负责做表格。最后我发现网上资料说得很完整，但和我们课堂实验不完全一样，所以我在报告里特别写了哪些结论来自实验记录。",human,"偏自然写作，含资料来源意识"
"这篇读后感我写了两稿。第一稿里我一直重复感动、震撼这些词，老师看后让我举例。我又回去翻了书，把主人公给朋友写信的那一段摘出来，再联系自己和朋友闹矛盾后道歉的事，文章才有了一点真实感。",human,"偏自然写作，含阅读细节"
"我对人工智能的看法有点矛盾。一方面它能帮我查到很多资料，另一方面我也担心自己变懒。上次写学习报告时，我让工具帮我整理提纲，但正文还是按课堂笔记写的。后来我发现提纲里有一个事实不准确，就把那部分删了。",human,"偏自然写作，含 AI 使用反思"
"班会讨论后，我才知道使用 AI 也要说明过程。以前我以为只要改几个词就可以算自己的，现在觉得不太合适。如果它只是帮我检查错别字，我会在声明里写清楚；如果是观点和段落，我就应该重新思考再写。",human,"偏自然写作，含规范意识"
"这次作文题目是一次难忘的合作。我本来想写运动会，可是写出来很普通。后来我想到科学课做小实验时，我们因为数据不一致争论了很久。最后大家重新测量，才发现是我读数太快。这个细节让我觉得合作不是简单分工。",human,"偏自然写作，含具体事件"
"我在学习总结里写了数学错题整理的方法。最开始我只是把题目抄到本子上，后来发现看不出自己错在哪里。现在我会在旁边写一句原因，比如公式记错、审题太快或画图不准。这个办法不复杂，但对我比较有用。",human,"偏自然写作，含个人方法"
"随着时代的发展，生成式人工智能正在深刻影响中学生的学习方式。我们应该正确认识 AI 技术的积极意义和潜在风险，在学习过程中做到合理使用、规范使用、负责任使用。只有这样，才能不断提升信息素养，实现全面发展。",ai,"偏模板化表达"
"在当今社会，阅读对于学生成长具有重要意义。通过阅读经典作品，学生不仅能够开阔视野，而且能够陶冶情操、提升能力。综上所述，我们要养成良好的阅读习惯，在书香中汲取力量，在成长中收获智慧。",ai,"偏模板化表达"
"本次学习总结主要从学习态度、学习方法和学习效果三个方面展开。首先，端正态度是提高成绩的重要前提；其次，科学方法是提升效率的关键路径；最后，及时反思是持续进步的有效保障。总而言之，学习需要坚持和规划。",ai,"偏结构规整"
"人工智能是一把双刃剑。它既可以帮助学生获取资料、完善表达，也可能带来依赖心理和思维惰性。因此，学生在使用人工智能时应增强自律意识，明确使用边界，做到技术服务学习，而不是让技术替代思考。",ai,"偏模板化论述"
"这篇作文围绕成长主题展开，重点表现了青少年在困难面前不断坚持、勇于突破的精神品质。文章结构清晰，层次分明，情感真挚，能够体现积极向上的价值取向，对中学生健康成长具有一定启示意义。",ai,"偏概括化评价"
"研究性学习有助于培养学生的问题意识、合作意识和探究能力。在活动过程中，学生可以通过查阅资料、实地观察、交流讨论等方式形成结论。由此可见，研究性学习不仅是一种学习方式，更是一种综合素养的体现。",ai,"偏模板化表达"
"读完这部作品，我深刻感受到主人公身上坚强勇敢、乐观向上的精神。面对困难，他没有退缩，而是积极寻找解决问题的方法。这种品质值得我们学习，也启发我们在今后的学习生活中不断努力、完善自我。",ai,"偏模板化读后感"
"从整体上看，规范使用生成式 AI 需要学校、教师和学生共同努力。学校应加强教育引导，教师应改进评价方式，学生应提高诚信意识和信息辨别能力。只有多方协同，才能营造健康有序的智能学习环境。",ai,"偏政策化表达"
"本报告从背景、过程、结果和反思四个方面进行分析。通过本次活动，我们认识到团队协作的重要性，也发现自身在资料整理和表达呈现方面仍有不足。今后，我们将继续改进方法，提高实践能力和创新意识。",ai,"偏规整报告"
"合理使用 AI 并不意味着完全依赖 AI，而是要把 AI 作为辅助工具。学生应主动提出问题、独立完成核心思考，并对生成内容进行核实和修改。这样才能在技术支持下提升学习质量，形成正确的数字素养。",ai,"偏规范化议论文"
